group,paper_id,title,local_decision,ai_decision,ai_confidence,quality_score,good_points,weak_points,must_modify,acceptance_plan,supervisor_note
Top Accept Candidates,nQ84YY9Iut,Multiclass Boosting: Simple and Intuitive Weak Learning Criteria,Accept,MODIFY,0.85,100.0,"Introduction of a new weak learning condition that generalizes the classic 'better than random' concept to multiclass problems. Development of a boosting algorithm with sample and oracle complexity independent of the number of classes, addressing scalability. Theoretical contributions linking multiclass boosting to List PAC Learning and providing new equivalences and proofs. Simplification of previous algorithms and analyses, potentially improving accessibility and understanding of the topic.","The abstract is concise but the paper lacks a clear introduction section explicitly framing the problem, gap, and contributions for readers unfamiliar with List PAC Learning. Method description is not detailed enough for full reproducibility; important implementation specifics and algorithmic steps need clearer exposition. The paper does not contain an experimental section demonstrating the algorithm's empirical performance on benchmark datasets or real-world multiclass problems, limiting evidence for practical effectiveness. No baseline comparisons against existing multiclass boosting algorithms are provided, making it difficult to assess relative improvements or trade-offs. The theoretical claims are strong but would benefit from additional ablation studies or parameter sensitivity analyses. The paper does not explicitly discuss limitations or ethical considerations related to multiclass boosting applications. Supplementary materials (e.g., code or detailed proofs) are not mentioned, impacting reproducibility potential.","Introduction (high): Add a well-structured Introduction section outlining the motivation for multiclass boosting, shortcomings of existing methods, explicit statement of the problem, and summarizing the novel contributions and their significance. Methodology (high): Expand the Method section to include step-by-step algorithm pseudocode, precise definitions, and intuitive explanations. Include complexity analysis and make explicit any assumptions clearly. Experiments/Evaluation (high): Include a comprehensive Experiments section with results on standard multiclass classification benchmarks. Compare performance against established multiclass boosting methods and analyze the effects of different parameters. Discussion or Limitations (medium): Add a Limitations subsection discussing potential weaknesses, scalability concerns, or situations where the method may underperform. Briefly mention any ethical implications relevant to multiclass classification tasks. Reproducibility (medium): Provide links to implementation code and supplementary materials or append detailed proofs and analyses in appendices to facilitate verification and adoption by others.","Add a detailed and structured Introduction clarifying the problem, gap, and contributions. Enhance the Methodology section with pseudocode and precise algorithmic explanation. Conduct and include empirical experiments on standard multiclass datasets comparing against relevant baselines. Add discussion of limitations and ethical considerations of multiclass boosting. Provide supplementary materials and/or code to improve reproducibility.","The paper presents a strong theoretical contribution to multiclass boosting and List PAC Learning that is innovative and promises to simplify existing approaches. However, it falls short in clarity and lacks empirical validation critical to convincing the community of its practical value. The next revision should tightly address these shortcomings with explicit details and experiments. Given the foundation is solid, with these enhancements the paper would be suitable for acceptance."
Top Accept Candidates,LmmjiTwYm0,What functions can Graph Neural Networks compute on random graphs? The role of Positional Encoding,Accept,MODIFY,0.85,100.0,"Provides a significant theoretical contribution by extending universality results for GNNs with positional encodings on large random graphs. Emphasizes the role of input features and positional encodings, a timely and relevant topic with practical impact. Introduces new concentration inequalities that can be of independent interest. Addresses normalization techniques and supports their benefit with numerical experiments on synthetic and real datasets.","Introduction lacks a clearly defined problem statement, knowledge gap, and precise contributions, making it hard to contextualize the work fully. Methodology and theoretical framework are sometimes dense, lacking intuitive explanations and clarity necessary for reproducibility. Experimental section is limited in scope: baseline comparisons are minimal or absent, and there is insufficient ablation to isolate the effects of normalization and positional encodings. The analysis does not adequately discuss limitations or potential ethical considerations of the approach. Reproducibility aspects such as datasets, code availability, and hyperparameters are not sufficiently detailed or mentioned.","Introduction (high): Rewrite the introduction to explicitly define the problem setting, highlight shortcomings of prior work, and list precise contributions with emphasis on novelty and impact. Methodology/Theoretical Analysis (high): Add intuitive explanations, supporting illustrations, and step-by-step guides for key theoretical results to improve understanding and reproducibility. Experiments/Evaluation (high): Include additional experiments comparing against strong baselines, perform ablation that isolates effects of normalization and positional encodings, and provide detailed analysis of results explaining observed behavior. Limitations and Ethics (medium): Add a dedicated section discussing potential limitations of the approach, generalizability boundaries, and ethical implications if any. Reproducibility (medium): Provide a reproducibility section or appendix specifying datasets used, exact experimental setups, hyperparameters, and plans for release of source code/data.","Revise the introduction to clearly articulate problem, gap, and contributions. Enhance clarity of theoretical presentation with intuitive explanations and illustrative examples. Expand experiments to include baseline comparisons and comprehensive ablations. Add a section discussing limitations and ethical considerations. Include detailed reproducibility information, and plan to release code/data publicly.","The paper addresses an important theoretical question with promising results and is close to acceptance-quality. However, it currently underdelivers in clarity and especially in experimental thoroughness and reproducibility details. Addressing the specified modifications will substantially improve the paper's quality and impact. Encourage the authors to focus on clear communication of concepts and robust experimental validation in the revision."
Top Accept Candidates,JolrEmMim6,ALGO: Synthesizing Algorithmic Programs with Generated Oracle Verifiers,Accept,MODIFY,0.85,100.0,"Presents a novel idea of generating oracles with LLMs to verify synthesized algorithms, addressing correctness challenges in code generation. Demonstrates strong empirical results with substantial improvements over Codex, CodeT, and ChatGPT Code Interpreter baselines. Model-agnostic integration makes ALGO broadly applicable for improving code generation. Provides public release of code, data, prompts, and test cases, enhancing reproducibility.","The paper lacks a clearly structured introduction detailing the problem statement, research gaps, and precise contributions. Methodology section is insufficiently detailed, making it difficult to reproduce the oracle generation and search strategies. Experimental section is somewhat brief; it lacks ablation studies analyzing the impact of key components, such as oracle quality or different search strategies. No discussion on limitations, e.g., scenarios where oracle generation might fail or not scale. Evaluation does not address ethical considerations or potential biases. Some parts of the manuscript have clarity issues and minor language inconsistencies.","Introduction (high): Expand the Introduction to explicitly state the challenges in algorithmic program synthesis, limitations of existing LLM solutions, and articulate how ALGO addresses these gaps with a clear list of main contributions. Methodology (high): Add a detailed description of the oracle generation process including prompting techniques, example queries, and formal definition of the oracle. Clearly explain the search strategy's algorithmic steps and how the oracle guides verification within the search. Experiments (high): Include ablation experiments analyzing oracle correctness impact, search strategies, and integration modes. Provide detailed experimental protocols and hyperparameter settings for transparency. Discussion (medium): Add a dedicated section discussing ALGO's limitations, scenarios where LLM-generated oracles may fail, and ethical aspects related to code synthesis and verification. Clarity and Presentation (medium): Proofread the manuscript for language clarity and correctness; consider restructuring some sections for improved logical flow and reader comprehension.","Revise the Introduction to clearly highlight problem motivation, prior gap, and main contributions. Elaborate Methodology with sufficient technical details to enable replication of oracle generation and search procedure. Expand the Experiments section with ablation studies and comprehensive experiment details. Add a Discussion section addressing limitations and ethical considerations. Improve clarity through thorough proofreading and restructuring where needed.","This paper presents an innovative approach that leverages LLM-generated oracles to enhance algorithmic code synthesis, backed by compelling empirical evidence. However, before acceptance, the authors must substantially improve the clarity and completeness of their methodological description and experimental evaluations. Addressing the outlined modifications will notably strengthen the manuscript's technical soundness, reproducibility, and overall presentation quality."
Top Accept Candidates,p9k5MS0JAL,Demystifying the Optimal Performance of Multi-Class Classification,Accept,MODIFY,0.85,100.0,"Addresses an important problem in estimating the Bayes error rate for multi-class classification, which is fundamental and challenging. Builds upon recent work (Ishida et al. 2023) with methodological novelty including a denoising step and median-of-means estimator to enhance robustness. Provides thorough theoretical analysis regarding consistency, unbiasedness, convergence rate, variance, and robustness, strengthening the scientific contribution. Experiments cover both synthetic data with noise and real datasets, validating theoretical claims. The proposed method tackles practical challenges such as label noise and outliers, increasing its applicability.","The introduction is currently brief and lacks a focused problem statement, motivation, and summary of contributions, reducing accessibility. Methodological descriptions, especially the denoising technique and median-of-means incorporation, need more detailed explanations to ensure reproducibility and understanding. Experimental section lacks direct comparison with existing baseline methods estimating Bayes error or other relevant approaches, limiting assessment of practical performance gains. Analysis of experimental results is somewhat shallow; more ablation studies or sensitivity analyses would strengthen the claims about robustness and convergence. Limitations of the proposed method and any potential ethical considerations (e.g., bias in datasets) are not discussed, which is important for a comprehensive evaluation.","Introduction (high): Expand the Introduction to include a precise problem statement, highlight shortcomings of current methods for estimating the Bayes error rate, and explicitly summarize the paper’s main contributions. Methodology (high): Provide formal definitions, algorithmic steps, and illustrative figures if helpful to clarify the procedures. Include pseudo-code or a numbered algorithm to aid understanding and replicability. Experiments (high): Include comparisons against state-of-the-art Bayes error estimators or relevant benchmarks. Add quantitative metrics and detailed analysis, along with ablation studies on noise levels, denoising effects, and median-of-means impact. Reproducibility (medium): Add a dedicated reproducibility section detailing datasets, parameter settings, seed values, hardware used, and provide publicly accessible code or instructions for obtaining it. Limitations and Ethics (low): Include a section discussing any limitations, assumptions made, and ethical considerations with respect to application of the method and dataset biases.","Rewrite the Introduction to improve motivation, clearly articulate the problem, and highlight contributions. Enhance the Methodology section with formal descriptions and algorithmic detail to enable reproducibility. Expand Experiments section by adding baseline method comparisons, ablation studies, and deeper result analysis. Include a reproducibility statement with dataset and code availability details. Add a brief discussion on limitations and ethical considerations relevant to the work.","The paper presents a solid and novel contribution to the challenging problem of estimating the Bayes error rate for multi-class classification, supported by strong theoretical analysis and initial experiments. However, before acceptance, the authors must address clarity issues, enrich experimental validations with baseline comparisons, and ensure reproducibility by providing detailed methodological and experimental information. Incorporating these modifications will significantly strengthen the submission and ensure it meets the high standards of the community."
Top Accept Candidates,T6iiOqsGOh,Mass-Producing Failures of Multimodal Systems with Language Models,Accept,MODIFY,0.85,100.0,"Introduces a novel and important problem: automated discovery of systematic failures in multimodal systems. Proposes an innovative approach leveraging language models to identify and describe failure categories in natural language. Demonstrates the approach concretely on CLIP and shows transfer of failure categories to various downstream models like Midjourney 5.1 and DALL-E. Highlights relevance to practical scenarios such as self-driving cars, indicating applicability beyond benchmarks. Presents interesting qualitative failure categories that reveal subtle model weaknesses.","The current presentation lacks a focused Introduction clearly articulating the problem gap and precise contributions, which hampers reader orientation. Methodological details on how MultiMon scrapes erroneous agreement examples and prompts the language model are insufficient for reproducibility. The Experiments section is underdeveloped, lacking quantitative metrics, baseline comparisons, or ablation studies to assess MultiMon's effectiveness or limitations rigorously. No quantitative analysis or statistics on failure frequency, severity, or coverage are provided. Ethical considerations regarding automated failure discovery and its deployment implications are not discussed. Clarity suffers from missing structure sections such as Related Work, and detailed discussion of results.","Introduction (high): Add an Introduction that frames the challenge of discovering systematic failures in multimodal models, highlights existing shortcomings in evaluation, and succinctly enumerates MultiMon's novel contributions. Methodology (high): Provide a step-by-step description of data collection, criteria for erroneous agreement identification, the prompt engineering details for the language model, and any filtering or clustering methods used. Experiments and Evaluation (high): Include quantitative results such as precision, recall, or coverage statistics for the failure categories discovered; compare against manual failure analysis or other baselines; and conduct ablation studies on different components or prompt variants. Discussion and Ethics (medium): Add a dedicated section discussing limitations of MultiMon (e.g., reliance on language model capabilities), risks such as misuse or over-reliance on automatic failure detection, and ethical considerations about transparency and fairness. Overall Structure and Clarity (medium): Add a Related Work section situating MultiMon in context of existing evaluation and failure detection techniques, and reorganize sections for clearer logical progression.","Add a focused and detailed Introduction framing the problem, gap, and contributions. Expand the Methodology section with comprehensive procedural details to enable reproducibility. Strengthen Experiments with quantitative metrics, baseline comparisons, and ablation analysis. Incorporate a thoughtful Discussion section covering limitations, ethical considerations, and future directions. Improve overall paper organization by adding Related Work and clarifying transitions between sections.","The paper is very promising and tackles a significant problem with an innovative approach and compelling qualitative results. However, it currently falls short on clarity, methodological detail, and thorough evaluation needed for confident acceptance. Addressing the outlined modifications will substantially improve the paper's quality and impact. I recommend encouraging the authors to revise accordingly before acceptance."
Top Modify Candidates,3iOefhez5e,Low Degree Hardness for Broadcasting on Trees,Modify,MODIFY,0.85,76.3,"Addresses a significant open question about computational hardness below the Kesten-Stigum threshold. Provides a novel and rigorous low-degree polynomial lower bound in a complex, non-product measure setting. Connects important concepts from statistical physics, phylogenetics, computational complexity, and inference theory. References key prior works and situates contribution within current research context.","The manuscript lacks a structured introduction framing the problem, gap, and clear contributions, which weakens accessibility. Methodological description is terse; crucial definitions and proof outlines are missing or not clearly sectioned, hindering reproducibility. No experiments, simulations, or concrete examples illustrating the lower bounds or performance gaps are provided. No comparison to baseline approaches or discussion of limitations and potential extensions. Clarity and structure need significant improvement, including defining technical terms and notation upfront. Ethical considerations and broader impacts (if any) are not discussed.","Abstract and Introduction (high): Expand the introduction to systematically explain the broadcasting on trees problem, importance of low-degree polynomials, prior complexity results, and exactly what is contributed here. Clearly state problem/gap/contributions in distinct paragraphs or bullet points. Methodology (high): Add a dedicated methodology section with precise definitions, assumptions, and sketches of main proofs. Make the theoretical framework and steps transparent. Experiments / Evaluation (medium): Include simulated experiments on broadcasting on trees to empirically illustrate correlation decay for low-degree polynomials below the Kesten-Stigum bound. Show plots or tables comparing correlation vs polynomial degree and tree size. Clarity and Structure (high): Improve readability by defining all specialized terms upfront, adding intuitive explanations, and structuring sections with informative headings. Consider adding a related work section to clarify positioning. Limitations and Ethics (low): Add a short discussion section addressing theoretical and practical limitations, possible extensions, and ethical implications if any.","Revise the introduction to clearly state the problem, gap in literature, and specific contributions. Expand the methodology section with precise definitions, assumptions, and proof sketches for reproducibility. Add experimental simulations demonstrating the correlation bounds empirically. Improve clarity with better notation, definitions, sectioning, and explanations to make the paper accessible to a wider audience. Include a discussion on limitations and ethical considerations to provide a balanced perspective.","This paper makes an important contribution to the theoretical understanding of computational hardness in broadcasting on trees, addressing a question raised by notable prior works. However, the current draft falls short in exposition, rigor of presentation, and empirical evaluation to be immediately acceptable. Focus revisions on clarifying the technical narrative, expanding methodological details, and providing supporting experiments. The paper has strong potential post-revision for acceptance."
Top Modify Candidates,oKqaWlEfjY,Worst-case Performance of Popular Approximate Nearest Neighbor Search Implementations: Guarantees and Limitations,Modify,MODIFY,0.8,76.0,"Addresses an important topic of theoretical guarantees in popular ANN methods, which is underexplored. Provides rigorous worst-case analyses for multiple graph-based ANN algorithms. Demonstrates both positive results (for DiskANN slow preprocessing) and negative worst-case examples (for DiskANN fast preprocessing, HNSW, NSG). The theoretical constructions and proofs appear novel and technically informed. Raises awareness of limitations in practical ANN methods that rely heavily on empirical performance.","Introduction lacks clear and focused motivation, problem statement, gap in literature, and explicit contributions. Methodological descriptions are abstract and insufficiently detailed for reproducibility. Experimental section is either missing or very limited, providing no quantitative validation of theoretical findings or empirical impact on real datasets. Comparisons to baseline methods beyond the studied algorithms and existing theoretical work are minimal or absent. Limited discussion on practical implications, parameter settings, or guidance for practitioners based on the findings. No thorough analysis or ablation to examine sensitivity or explore conditions under which guarantees hold. Lack of explicit acknowledgment of broader limitations, ethical considerations, or computation/environmental costs. Code or pseudo-code for the algorithms and constructions is not provided, limiting reproducibility. Suggestions need prioritization and clarity.","Introduction (high): Add a focused introduction section that explicitly outlines the importance of nearest neighbor search, the challenge of theoretical guarantees in graph-based ANN, existing gaps, and clearly state the novel contributions and significance of the paper. Methodology/Approach (high): Provide a detailed, step-by-step explanation of the algorithms under study, including their parameters, data structures used, and the theoretical framework. Include pseudo-code or illustrative diagrams to enhance clarity. Experiments/Evaluation (high): Add a comprehensive experimental section with concrete datasets, benchmark comparisons, empirical query times, and accuracy results. Correlate empirical findings with the theoretical bounds established, highlighting cases where worst-case behaviors appear in practice. Related Work/Baseline Comparison (medium): Expand related work to include other theoretical analyses of ANN, related algorithms, and include discussion/comparison with state-of-the-art baseline methods. Reproducibility (medium): Include code snippets, detailed algorithmic descriptions, or links to a repository to facilitate reproducibility. Discussion and Limitations (low): Add a section discussing these aspects to improve completeness and transparency.","Rewrite the Introduction to clearly establish motivation, gaps, and contributions. Expand the Methodology section with detailed descriptions, pseudo-code, and diagrams of the ANN algorithms studied. Develop and include a comprehensive Experiments section verifying theoretical results on real and synthetic datasets. Broaden Related Work to better contextualize contributions and baseline comparisons. Prepare reproducibility materials (codes, datasets, scripts) to accompany the submission. Include a Discussion section addressing limitations, practical implications, and ethics.","The paper is promising and addresses a valuable theoretical direction in graph-based approximate nearest neighbor search. However, the current manuscript is more of a preliminary theoretical note with minimal empirical or structural rigor. To reach acceptance standards, the authors must substantially improve clarity, provide reproducible methodology, and importantly, add empirical validation showing the practical influence of their worst-case results. Recommendation is to majorly revise and resubmit after addressing the above critical points."
